Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Norrbottenspets,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,11–14,0,0,0,0,Sweden/Finland,"FCI, KC (UK)",hips (OFA/FCI); eye exam (CAER),"independent, alert",Challenging,breed-specific estimate
Jämthund,,,Swedish Elkhound,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Sweden,FCI,,"independent, alert",Challenging,breed-specific estimate
Galgo Español,,,Spanish Greyhound,group-default heuristic,Moderate,,10,0,0,0,0,,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,11–14,0,0,0,0,Spain,FCI,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"gentle, reserved",Moderate,breed-specific estimate
Magyar Agár,,,Hungarian Greyhound,group-default heuristic,Moderate,,10,0,0,0,0,,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,11–14,0,0,0,0,Hungary,FCI,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"gentle, reserved",Moderate,breed-specific estimate
Chart Polski,,,Polish Greyhound,group-default heuristic,Moderate,,10,0,0,0,0,,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,11–14,0,0,0,0,Poland,FCI,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"gentle, reserved",Moderate,breed-specific estimate
Podenco Canario,,,Canarian Warren Hound,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain (Canary Islands),FCI,,"independent, alert",Challenging,breed-specific estimate
Portuguese Podengo Medio,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Portugal,FCI,,"independent, alert",Challenging,breed-specific estimate
Portuguese Podengo Grande,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Portugal,FCI,,"independent, alert",Challenging,breed-specific estimate
Alpine Dachsbracke,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Austria,FCI,,typical for type,Moderate,breed-specific estimate
Hanoverian Scenthound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Germany,"AKC (FSS), FCI",,typical for type,Moderate,breed-specific estimate
Istrian Shorthaired Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Croatia,FCI,,typical for type,Moderate,breed-specific estimate
Istrian Coarse-haired Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Croatia,FCI,,typical for type,Moderate,breed-specific estimate
Posavac Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Croatia,FCI,,typical for type,Moderate,breed-specific estimate
Slovenský kopov,,,Slovakian Hound,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Slovakia,FCI,,typical for type,Moderate,breed-specific estimate
Montenegrin Mountain Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Montenegro,FCI,,typical for type,Moderate,breed-specific estimate
Serbian Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Serbia,FCI,,typical for type,Moderate,breed-specific estimate
Serbian Tricolour Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Serbia,FCI,,typical for type,Moderate,breed-specific estimate
Greek Hound,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Greece,FCI,,typical for type,Moderate,breed-specific estimate
Dunker,,,Norwegian Hound,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Norway,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Hygen Hound,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Norway,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Hamiltonstövare,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Sweden,"FCI, KC (UK)",regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Schillerstövare,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Sweden,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Beagle-Harrier,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Ariegeois,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Gascon Saintongeois,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Poitevin,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Porcelaine,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Petit Bleu de Gascogne,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Griffon Bleu de Gascogne,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),"scent‑driven, friendly",Moderate,breed-specific estimate
Griffon Nivernais,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),"scent‑driven, friendly",Moderate,breed-specific estimate
Artois Hound,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Swiss Hound (Bernese),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Swiss Hound (Jura),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Swiss Hound (Lucerne),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Swiss Hound (Schwyz),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Small Swiss Hound (Bernese),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Small Swiss Hound (Jura),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Small Swiss Hound (Lucerne),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Small Swiss Hound (Schwyz),,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,Switzerland,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Large Münsterländer,,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,Germany,"AKC, FCI, KC (UK)",hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
German Longhaired Pointer,,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,Germany,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
Braque d’Auvergne,,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,France,"FCI, KC (UK)",hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
Braque Saint‑Germain,,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
"Braque Français, type Gascogne",,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
"Braque Français, type Pyrénées",,,,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,France,FCI,hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
Epagneul Français (French Spaniel),,,,group-default heuristic,High,,8,0,0,0,0,,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,0,0,0,0,France,"FCI, KC (UK)",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"amiable, eager",High,breed-specific estimate
Epagneul Picard,,,,group-default heuristic,High,,8,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,France,"FCI, KC (UK)",,"amiable, eager",High,breed-specific estimate
Blue Picardy Spaniel,,,,group-default heuristic,High,,8,0,0,0,0,,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,0,0,0,0,France,"FCI, KC (UK)",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"amiable, eager",High,breed-specific estimate
Pont‑Audemer Spaniel,,,,group-default heuristic,High,,8,0,0,0,0,,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,0,0,0,0,France,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"amiable, eager",High,breed-specific estimate
German Spaniel (Wachtelhund),,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,0,0,0,0,Germany,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,typical for type,Moderate,breed-specific estimate
Perdigeiro de Burgos,,,Perdiguero de Burgos,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain,FCI,,typical for type,Moderate,breed-specific estimate
Perdigueiro Português,,,Portuguese Pointer,group-default heuristic,High,,7,0,0,0,0,,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,0,0,0,0,Portugal,FCI,hips/elbows (OFA/FCI); eye exam (CAER),"energetic, eager",High,breed-specific estimate
Jagdterrier,,,German Hunt Terrier,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Germany,"FCI, UKC",,typical for type,Moderate,breed-specific estimate
Pražský krysařík,,,Prague Ratter,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Czech Republic,FCI,,typical for type,Moderate,breed-specific estimate
Ca de Bou,,,Perro Dogo Mallorquin; Majorca Mastiff,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain (Mallorca),FCI,,typical for type,Moderate,breed-specific estimate
Ca de Bestiar,,,Perro de Pastor Mallorquin,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain (Mallorca),FCI,,typical for type,Moderate,breed-specific estimate
Thai Bangkaew Dog,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Thailand,FCI,,"independent, alert",Challenging,breed-specific estimate
Kintamani-Bali Dog,,,,group-default heuristic,High,,5,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Indonesia (Bali),FCI,,"independent, alert",Challenging,breed-specific estimate
Buldogue Campeiro,,,Brazilian Campeiro Bulldog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Brazil,"FCI, FCI (provisional)",,typical for type,Moderate,breed-specific estimate
Ciobănesc Românesc Corb,,,Romanian Raven Shepherd Dog,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Romania,"FCI, FCI (provisional)",,typical for type,Moderate,breed-specific estimate
Kazakh Tazy,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Kazakhstan,"FCI, FCI (provisional)",,typical for type,Moderate,breed-specific estimate
Ratonero Bodeguero Andaluz,,,Andalusian Terrier; Sherry Terrier,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain,"FCI, FCI (provisional)",,typical for type,Moderate,breed-specific estimate
Gos Rater Valencià,,,Valencian Terrier,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,Spain (Valencia),"FCI, FCI (provisional)",,typical for type,Moderate,breed-specific estimate
Billy,,,,group-default heuristic,Moderate,,0,0,0,0,0,,Moderate,,,,11–14,0,0,0,0,France,FCI,,typical for type,Moderate,breed-specific estimate
Basset Artésien Normand,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,"FCI, KC (UK)",regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Grand Basset Griffon Vendéen,,,GBGV,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,11–14,0,0,0,0,France,"FCI, KC (UK)",regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),"scent‑driven, friendly",Moderate,breed-specific estimate
Anglo-Français de Petite Vénerie,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,,,11–14,0,0,0,0,France,FCI,,"scent‑driven, friendly",Moderate,breed-specific estimate
Grand Anglo-Français Blanc et Noir,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
Grand Anglo-Français Tricolore,,,,group-default heuristic,High,,6,0,0,0,0,,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,0,0,0,0,France,FCI,regular ear checks/cleaning; skin/coat checks,"scent‑driven, friendly",Moderate,breed-specific estimate
